fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality=3,quality=4,quality=5,quality=6,quality=7,quality=8
0.176,0.367,0.000,0.065,0.105,0.139,0.097,0.008,0.192,0.115,0.067,0,0,1,0,0,0
0.201,0.481,0.000,0.110,0.141,0.333,0.211,0.007,0.115,0.175,0.094,0,0,1,0,0,0
0.201,0.405,0.040,0.090,0.131,0.194,0.166,0.007,0.130,0.160,0.094,0,0,1,0,0,0
0.415,0.101,0.560,0.065,0.103,0.222,0.187,0.008,0.105,0.125,0.094,0,0,0,1,0,0
0.176,0.367,0.000,0.065,0.105,0.139,0.097,0.008,0.192,0.115,0.067,0,0,1,0,0,0
0.176,0.342,0.000,0.058,0.103,0.167,0.118,0.008,0.192,0.115,0.067,0,0,1,0,0,0
0.208,0.304,0.060,0.045,0.093,0.194,0.183,0.006,0.140,0.065,0.067,0,0,1,0,0,0
0.170,0.335,0.000,0.019,0.087,0.194,0.052,0.005,0.162,0.070,0.107,0,0,0,0,1,0
0.201,0.291,0.020,0.071,0.100,0.111,0.042,0.007,0.155,0.120,0.074,0,0,0,0,1,0
0.182,0.241,0.360,0.335,0.097,0.222,0.332,0.008,0.152,0.235,0.141,0,0,1,0,0,0
0.132,0.291,0.080,0.058,0.139,0.194,0.204,0.006,0.135,0.105,0.054,0,0,1,0,0,0
0.182,0.241,0.360,0.335,0.097,0.222,0.332,0.008,0.152,0.235,0.141,0,0,1,0,0,0
0.063,0.313,0.000,0.045,0.126,0.208,0.183,0.004,0.209,0.095,0.101,0,0,1,0,0,0
0.201,0.310,0.290,0.045,0.167,0.111,0.080,0.007,0.130,0.615,0.047,0,0,1,0,0,0
0.270,0.316,0.180,0.187,0.268,0.708,0.481,0.008,0.105,0.275,0.054,0,0,1,0,0,0
0.270,0.316,0.190,0.194,0.259,0.694,0.491,0.008,0.107,0.300,0.054,0,0,1,0,0,0
0.245,0.101,0.560,0.058,0.131,0.472,0.336,0.007,0.140,0.210,0.141,0,0,0,0,1,0
0.220,0.278,0.280,0.052,0.583,0.208,0.173,0.007,0.092,0.475,0.060,0,0,1,0,0,0
0.176,0.297,0.080,0.226,0.121,0.069,0.080,0.007,0.160,0.085,0.040,0,1,0,0,0,0
0.208,0.127,0.510,0.058,0.538,0.222,0.173,0.007,0.075,0.375,0.054,0,0,0,1,0,0
0.270,0.063,0.480,0.058,0.106,0.389,0.187,0.007,0.162,0.100,0.067,0,0,0,1,0,0
0.189,0.171,0.310,0.090,0.115,0.306,0.225,0.008,0.195,0.160,0.087,0,0,1,0,0,0
0.208,0.196,0.210,0.045,0.154,0.125,0.107,0.007,0.107,0.290,0.074,0,0,1,0,0,0
0.245,0.234,0.110,0.090,0.118,0.111,0.211,0.007,0.107,0.100,0.067,0,0,1,0,0,0
0.145,0.177,0.140,0.097,0.119,0.278,0.118,0.007,0.172,0.150,0.087,0,0,0,1,0,0
0.107,0.171,0.160,0.032,0.111,0.139,0.059,0.005,0.150,0.115,0.060,0,0,1,0,0,0
0.189,0.184,0.240,0.058,0.111,0.042,0.017,0.006,0.135,0.130,0.074,0,0,1,0,0,0
0.208,0.196,0.210,0.045,0.154,0.125,0.107,0.007,0.107,0.290,0.074,0,0,1,0,0,0
0.157,0.373,0.000,0.065,0.111,0.181,0.100,0.007,0.182,0.110,0.067,0,0,1,0,0,0
0.201,0.332,0.000,0.071,0.115,0.097,0.035,0.006,0.160,0.130,0.094,0,0,0,1,0,0
0.132,0.351,0.070,0.097,0.126,0.222,0.263,0.006,0.152,0.105,0.114,0,0,1,0,0,0
0.145,0.358,0.000,0.103,0.152,0.292,0.107,0.007,0.180,0.120,0.148,0,0,0,1,0,0
0.233,0.339,0.120,0.090,0.116,0.194,0.370,0.007,0.107,0.165,0.094,0,0,1,0,0,0
0.145,0.307,0.120,0.632,0.100,0.542,0.266,0.009,0.177,0.095,0.067,0,0,0,1,0,0
